iter	Passed	Remaining
0	1	104
1	1	94
2	2	87
3	3	79
4	4	77
5	4	75
6	5	73
7	6	73
8	7	73
9	8	73
10	9	72
11	9	71
12	10	70
13	11	68
14	11	67
15	12	65
16	13	64
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	55
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	47
37	28	46
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	32	40
44	32	39
45	33	39
46	33	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	38	32
54	39	32
55	39	31
56	40	30
57	41	29
58	42	29
59	43	28
60	43	27
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	48	23
67	48	22
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	53	17
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	58	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	70	0
99	71	0
